date_utc,total_value,cash,holdings_value,pnl_usd,pnl_pct,var_95_usd,cvar_95_usd,sim_sharpe,p_ruin,bl_run,bench_value,data_status
2026-05-20,999.98,159.98,840.00,-0.02,-0.00
2026-05-20,999.86,159.98,839.88,-0.14,-0.01
2026-05-20,996.45,159.98,836.46,-3.55,-0.36,32.02,39.78,0.652,0.4131,1
2026-05-20,996.39,159.98,836.40,-3.61,-0.36,32.01,39.77,0.652,0.4132,1
2026-05-21,1014.32,159.98,854.34,14.32,1.43,32.46,40.90,0.653,0.4082,1
2026-05-22,1020.03,159.98,860.05,20.03,2.00,32.86,41.07,0.661,0.4016,1
2026-05-25,1021.31,159.98,861.33,21.31,2.13,32.88,41.20,0.660,0.4016,1
2026-05-26,1038.54,159.98,878.56,38.54,3.85,33.33,41.85,0.662,0.3917,1
2026-05-27,1032.52,159.98,872.53,32.52,3.25,33.15,41.78,0.658,0.3978,1
2026-05-28,1036.23,159.98,876.25,36.23,3.62,32.78,41.13,0.660,0.3872,1
2026-05-29,1035.98,159.98,876.00,35.98,3.60,32.63,40.80,0.660,0.3846,1
2026-06-01,1027.16,159.98,867.18,27.16,2.72,31.83,40.28,0.661,0.3865,1
2026-06-02,1038.07,159.98,878.09,38.07,3.81,31.21,39.39,0.655,0.3704,1
2026-06-03,1022.68,159.98,862.69,22.68,2.27,30.62,38.25,0.654,0.3739,1
2026-06-04,1022.10,159.98,862.12,22.10,2.21,30.73,38.19,0.653,0.3737,1
2026-06-05,935.79,159.98,775.80,-64.21,-6.42,27.16,34.03,0.607,0.4166,1,995.01,degraded
2026-06-08,933.11,159.98,773.13,-66.89,-6.69,27.13,33.84,0.615,0.4115,1,997.26,degraded
